,name,File Path,File Type,File_size_in_MB,Length,Song Number,Artist,Album,Genre,Publisher,Bitrate,Comment,Composer,Year Published,Owner,Computer,Encoded By,Copyright,Device_id,Inode_id,Created Date,Modified Date,Last Access Date
0,Shaw brothers theme,D:\music\(unknown)\Kill Bill (Soundtrack) (Vol.1 unreleased tracks)\Shaw Brothers Theme.mp3,mp3,0.17774391174316406,15.6,01,(unknown),Kill Bill (Soundtrack) (Vol.1 unreleased tracks),Soundtrack,,96,None,,2003,WehrsNet,NAS-1,none,none,3935787269,1407374883571150,2023-05-04,2023-05-04,2023-05-04
1,Po' laz'us,D:\music\04 Male Convict Group\Georgia - I'm Gonna Make You Happy\Po' Laz'us.mp3,mp3,2.143094062805176,140.4,,04 Male Convict Group,Georgia - I'm Gonna Make You Happy,Classic Rock,,128,boerpoel@freemail.nl,,1934,WehrsNet,NAS-1,none,none,3935787269,1688849860281481,2023-05-04,2023-05-04,2023-05-04
2,I'm not in love,D:\music\10 CC\Am Gold - 1975&7\I'm Not In Love.mp3,mp3,3.484461784362793,228.1,20,10 Cc,Am Gold - 1975,Classic Rock,Time Life Music,128,,Eric Stewart/Graham Gouldman,1975,WehrsNet,NAS-1,none,,3935787269,1688849860281519,2023-05-04,2023-05-04,2023-05-04
3,The things we do for love,D:\music\10 CC\Am Gold - 1975&7\The Things We Do For Love.mp3,mp3,3.2481689453125,212.7,1,a,al,g,,128,,,2000,WehrsNet,NAS-1,none,none,3935787269,1688849860281520,2023-05-04,2023-05-04,2023-05-04
4,Dust bowl,"D:\music\10,000 Maniacs\Blind Man's Zoo\Dust Bowl.mp3",mp3,9.643247604370117,253.0,08,"10,000 Maniacs",Blind Man's Zoo,Alternative,Elektra,320,,Natalie Merchant/Robert Buck,1989,WehrsNet,NAS-1,none,,3935787269,1970324836992179,2023-05-04,2023-05-04,2023-05-04
5,Eat for two,"D:\music\10,000 Maniacs\Blind Man's Zoo\Eat for Two.mp3",mp3,8.069128036499023,211.7,01,"10,000 Maniacs",Blind Man's Zoo,Alternative,Elektra,320,,Natalie Merchant,1989,WehrsNet,NAS-1,none,,3935787269,1688849860281524,2023-05-04,2023-05-04,2023-05-04
6,Hateful hate,"D:\music\10,000 Maniacs\Blind Man's Zoo\Hateful Hate.mp3",mp3,10.354116439819336,271.7,10,"10,000 Maniacs",Blind Man's Zoo,Alternative,Elektra,320,,Natalie Merchant,1989,WehrsNet,NAS-1,none,,3935787269,1688849860281525,2023-05-04,2023-05-04,2023-05-04
7,Headstrong,"D:\music\10,000 Maniacs\Blind Man's Zoo\Headstrong.mp3",mp3,9.794563293457031,257.0,06,"10,000 Maniacs",Blind Man's Zoo,Alternative,Elektra,320,,Natalie Merchant,1989,WehrsNet,NAS-1,none,,3935787269,1688849860281526,2023-05-04,2023-05-04,2023-05-04
8,Jubilee,"D:\music\10,000 Maniacs\Blind Man's Zoo\Jubilee.mp3",mp3,14.012073516845703,367.6,11,"10,000 Maniacs",Blind Man's Zoo,Alternative,Elektra,320,,Natalie Merchant,1989,WehrsNet,NAS-1,none,,3935787269,1688849860281527,2023-05-04,2023-05-04,2023-05-04
9,Please forgive us,"D:\music\10,000 Maniacs\Blind Man's Zoo\Please Forgive Us.mp3",mp3,7.810297012329102,204.9,02,"10,000 Maniacs",Blind Man's Zoo,Alternative,Elektra,320,,Natalie Merchant/Robert Buck,1989,WehrsNet,NAS-1,none,,3935787269,1688849860281528,2023-05-04,2023-05-04,2023-05-04
